epoch, train_loss        , eval_loss    , eval_top1         , eval_top5
    0, 6.841440292505117 , 6.92977875   ,  0.084            ,  0.424
    1, 6.630433421868545 , 6.920435     ,  0.166            ,  0.678
    2, 6.462686758774978 , 6.9631925    ,  0.248            ,  1.002
    3, 6.2381399136323195, 7.0035625    ,  0.266            ,  1.244
    4, 6.068576675194961 , 6.8803925    ,  0.622            ,  1.958
    5, 5.844302250788762 , 6.368965     ,  1.494            ,  5.166
    6, 5.647469841516935 , 5.46683      ,  8.160000000686646, 20.825999998168946
    7, 5.481734450046833 , 4.4669475    , 20.604000001831054, 42.206000006103515
    8, 5.340104203957778 , 3.72221      , 30.986000017089843, 55.602
    9, 5.210931741274321 , 3.22054875   , 38.631999997558594, 63.88799998535156
   10, 5.071117442387801 , 2.86783375   , 44.583999990234375, 69.7360000390625
   11, 5.036604358599736 , 2.60262625   , 49.374000006103515, 74.03400003417968
   12, 4.8849695187348585, 2.400625     , 53.087999998779296, 77.30400002685546
   13, 4.810066755001362 , 2.233025625  , 56.23599999511719 , 79.74999998535156
   14, 4.674232441645402 , 2.0934575    , 58.81000000976562 , 81.75000003417969
   15, 4.653438453490917 , 1.98211875   , 60.850000053710936, 83.44
   16, 4.492970952620873 , 1.896270625  , 62.49600000732422 , 84.692
   17, 4.536193302044501 , 1.8246184375 , 63.884000002441404, 85.62400001953125
   18, 4.487189159943507 , 1.773701875  , 64.92399999023438 , 86.45800001953126
   19, 4.431219440240127 , 1.739081875  , 65.68200001953124 , 86.97999999023438
   20, 4.436663054502928 , 1.707719375  , 66.38400001464844 , 87.44999998535157
   21, 4.41067865720162  , 1.678966875  , 66.97800000976562 , 87.84000000976563
   22, 4.391244851625883 , 1.65176625   , 67.6700000341797  , 88.37000000976562
   23, 4.360767589165614 , 1.63137375   , 68.20200000244141 , 88.67200000976563
   24, 4.2826216495954075, 1.6137934375 , 68.65999997558593 , 88.99000003417969
   25, 4.3400929891146145, 1.594874375  , 69.1540000024414  , 89.26200000976563
   26, 4.258880404325632 , 1.57465125   , 69.55200002441406 , 89.46200003173828
   27, 4.378609285904811 , 1.561595     , 69.89599997070313 , 89.67600000976563
